frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","0","0","1","0","0","1","0","0","0"
"0.01596737","0","0","1","0","0","1","0","0","0"
"0.02915192","0","0","1","0","0","1","0","0","0"
"0.04316616","0","0","1","0","0","1","0","0","0"
"0.0588522","0","0","1","0","0","1","0","0","0"
"0.07189274","0","0","1","0","0","1","0","0","0"
"0.08777046","0","0","1","0","0","1","0","0","0"
"0.1022625","0","0","1","0","0","1","0","0","0"
"0.115921","0","0","1","0","0","1","0","0","0"
"0.1303596","0","0","1","0","0","1","0","0","0"
"0.1452971","0","0","1","0","0","1","0","0","0"
"0.1580973","0","0","1","0","0","1","0","0","0"
"0.1722794","0","0","1","0","0","1","0","0","0"
"0.1856241","0","0","1","0","0","1","0","0","0"
"0.1999149","0","0","1","0","0","1","0","0","0"
"0.2143173","0","0","1","0","0","1","0","0","0"
"0.2285261","0","0","1","0","0","1","0","0","0"
"0.242753","0","0","1","0","0","1","0","0","0"
"0.2578468","0","0","1","0","0","1","0","0","0"
"0.2713537","0","0","1","0","0","1","0","0","0"
"0.2856941","0","0","1","0","0","1","0","0","0"
"0.3001194","0","0","1","0","0","1","0","0","0"
"0.3157864","0","0","1","0","0","1","0","0","0"
"0.3284836","0","0","1","0","0","1","0","0","0"
"0.3427858","0","0","1","0","0","1","0","0","0"
"0.3569899","0","0","1","0","0","1","0","0","0"
"0.3718939","0","0","1","0","0","1","0","0","0"
"0.3855171","0","0","1","0","0","1","0","0","0"
"0.4002485","0","0","1","0","0","1","0","0","0"
"0.4139528","0","0","1","0","0","1","0","0","0"
"0.4288635","0","0","1","0","0","1","0","0","0"
"0.4428358","0","0","1","0","0","1","0","0","0"
"0.4577637","0","0","1","0","0","1","0","0","0"
"0.4710865","0","0","1","0","0","1","0","0","0"
"0.4858274","0","0","1","0","0","1","0","0","0"
"0.4998465","0","0","1","0","0","1","0","0","0"
"0.5142508","0","0","1","0","0","1","0","0","0"
"0.5301275","0","0","1","0","0","1","0","0","0"
"0.5427742","0","0","1","0","0","1","0","0","0"
"0.5570965","0","0","1","0","0","1","0","0","0"
"0.5721226","0","0","1","0","0","1","0","0","0"
"0.5855103","0","0","1","0","0","1","0","0","0"
"0.5999575","0","0","1","0","0","1","0","0","0"
"0.613925","0","0","1","0","0","1","0","0","0"
"0.6283379","0","0","1","0","0","1","0","0","0"
"0.6427059","0","0","1","0","0","1","0","0","0"
"0.6580334","0","0","1","0","0","1","0","0","0"
"0.6711655","0","0","1","0","0","1","0","0","0"
"0.6876326","0","0","1","0","0","1","0","0","0"
"0.7001362","0","0","1","0","0","1","0","0","0"
"0.7141466","0","0","1","0","0","1","0","0","0"
"0.7286091","0","0","1","0","0","1","0","0","0"
"0.7451611","0","0","1","0","0","1","0","0","0"
